10 string:name integer:age float:height boolean:male
0 vwyaprjwmyswuyyenspu 21634 23.79602 False
0 cpebnvmjqumzmoiuweag 80042 76.23297 True
1 lygapfemtidbjxebvfbf 11271 23.91193 False
2 iydyiuuehczhloteltnt 42238 60.24006 False
0 vfmuyhwnqlfwxuulacwt 35058 7.46948 False
0 oxeffglrkcmpzxwbxefp 45482 44.33026 True
1 iqvqmndspmhedyvvzcuy 9502 56.56677 False
1 oyqwabbagvnkgsxdmrkm 18653 25.30835 False
5 ixbqhfevvwulwuyxxigt 68226 83.30584 False
4 klwqxclgampjqigblitp 79307 34.66541 False
0 mdlqestqmjqhhdxrssxs 77090 81.74086 True
2 sadabeaanwxygduwitss 39639 96.54906 True
11 sokkutntpqrxuaodcdhb 26308 88.19866 True
4 wlbptxbzknpoztchwwnz 20513 21.27136 True
12 ihjtgqwsjoamhkwrjipn 55999 78.14351 True
14 cghyajgrrjkeapcqlmqo 21721 55.82082 False
1 ahztopqogrgopjyoiyen 72287 34.2417 True
7 dmzdvdoykmekmdmsyrer 80332 8.55062 False
3 zxsignagivmrikeuqnja 29715 25.63859 True
5 onwtegsuyqnxmmsyduxd 63943 72.52779 False
4 ffavawomrpvmcrfvjapz 49402 63.65342 True
8 bnvhdaarggsvpbioblml 99276 45.74472 False
12 phswiyfjliyeorcctfvx 32507 31.20997 True
3 nmkngufosvmsuuzegmjz 89665 31.8356 True
3 ybsrbxthakzzulfsdqpa 41940 59.14644 False
9 jalebepubszcsxaajqzz 52448 94.83052 False
7 nlycushgomikoybsilrh 7309 90.47903 False
1 ibgdtpnuinmwoetwkxry 37327 92.24278 False
22 yvixkiozephckfyhvyfm 2877 90.20421 True
0 paybykqaxdbqpqtmtuzi 10932 63.98824 False
29 vmwyqjeozpcgcnausbmm 24167 70.13527 False
9 edgvlpbiaggsqqrhlgnu 50142 18.26226 True
0 midompkuypwonxizymun 64553 50.54643 True
27 ysyqqjhmnckpjmpvokqk 4308 12.59097 False
17 yjngfhroswyxwbmieypp 17698 78.24514 False
33 szmqjselkldkjpubufmh 88233 11.8299 True
5 dpdmagvbyupkfjhsudid 51145 60.6357 False
5 qkhodkfbftkyutbuafds 54966 82.56539 True
22 ajyfgoosmjwiawjulwkj 85606 40.08726 True
15 bejtujnzbbdhivkhxftk 98469 69.81355 False
13 drtauayusuegnqojxcue 83466 67.28226 False
37 cinofckdtlwmakqkpusw 95870 93.17316 False
19 poqhxmmgjkxhkdgwywtb 93726 49.80824 False
21 ugyoqdfwhuiapdbwsqux 9829 67.16725 False
40 tyfcwzjnsvlnadvenhqx 55974 30.75301 False
30 mohmqmjovgopyzesjanj 82885 61.637 False
3 kbcohcbtfaygcgidmuqs 49900 4.82672 False
2 rpzzuwmwsbqtkknpifye 31511 5.83056 True
24 dpwclmyfcgtoqadbeawu 82952 67.3457 False
0 wrayshjmdrbabnitiyhk 30844 41.28084 True
0 obcdkhqjwfbzvjkpjofj 5577 65.12093 True
24 mezolwgcvqazxbkttile 51534 38.0243 True
45 byjdxdlqmqouraomnxqe 6234 55.95894 False
28 gifhkuagestihrijdmmq 81726 36.19701 False
14 rqnuvpzpzxxlhgmqryrx 61503 1.9166 True
28 ljravhmeyylzqjdifnhx 58006 35.2018 True
34 gdzyukoocmcbxpmtiuvk 36315 24.85069 False
25 bbdtxhwitextabtdofah 89755 26.47745 False
57 fgxrjtnocrnywpffmhfs 16075 56.93355 True
2 oqtrxkcilnjgwyonctzl 25970 90.69567 False
11 dvqyoppcepdcasorvlbr 13326 98.04055 True
17 skvvrqyvpavwzununmyk 86249 27.36721 True
0 xbudynuowkbqvmmvbelf 49549 15.36004 False
38 tcnvyrhjfceaorkxnldx 72506 72.17148 True
15 ppqchekwevxtdtkdwujd 32075 32.19808 False
20 wjgvxymykoalandcklcp 10179 30.90467 False
48 phufkpxxyzrtjexprhvq 89264 21.95183 False
12 oddtbvuihiumrrfhpnll 82004 11.50537 True
6 uqnqzcfsnoxihyjsreuk 21227 46.3301 False
42 pdpdnuutxfhrgrlyjfcx 31629 28.63202 True
2 angrcknwqjthtjmpzvyi 60664 17.96631 False
38 rttccrmyoeexcvajymxy 14827 39.72162 False
63 ygnadrqkagahkvoeyvpi 24502 74.93601 True
10 gunrvexdbpuckoghchcm 17731 17.75209 False
25 fdbjephbclrouyjlsbsn 79900 35.32374 False
8 aktqfzmhisxhkekutbcy 79249 83.3943 False
67 cfephawyfrqelrniejrt 50664 8.48738 False
69 zutvtxjyfkzobynkedkz 31632 71.48527 False
49 fpftmjhtbrazibxyadlr 34555 8.4293 True
21 ongjalfpsnssnydgqnun 819 22.10698 True
65 qgieltlstwdevwivqpds 24089 88.84811 True
77 xtfgesuebfthzfvfiwcf 16678 54.13028 True
42 xlnbwlzresszvclvyhkl 76748 19.41405 True
59 uemlbwxhnjesfexocofl 12901 88.27729 False
57 kieberhpklruxbttwtdo 92461 36.50502 True
7 elymzrpsdpflvyndahkp 19511 35.04968 True
82 cefokiouhczduwkplrql 92807 98.6719 False
41 lpgppxfnvaexnxktcror 45427 48.77 True
46 qkeiuizcbcoliokcuzhs 84246 62.006 True
12 uyeebbpbhollfkdzkywv 65262 81.38996 False
27 bdawgafjbnjwpvbfpxba 71564 94.83399 False
74 lhterjnzkfvfxnitkymk 32575 84.79671 False
30 brvqbugeehxntbwrxlvl 33896 98.60736 True
86 arhhnlohzphudsynmfoo 75790 66.59843 False
64 jovebplnfhnjzclilcyx 23767 71.98805 False
38 svoktisimxjpnfmegoio 11117 3.96174 False
85 qrakjqynyiufvseaezmg 42918 41.93743 False
63 lwfnycqougonotxtukaq 9420 38.41978 False
97 hceucfwnaarwiuhibwet 25850 64.93023 False
13 axjayzyohuexnnroxyoc 32345 19.84068 False
30 znfcnfoigsuyudofveay 58950 91.81567 False
32 rzxpxxzlwdzrfbnllbet 43920 2.91924 False
82 hedohxqlunkujxgijtwb 51593 87.60502 False
98 fpofdtzlnnqymyerbqqo 79670 1.90485 False
